"id","confidence","correct","domain","model","seed","signal"
"generative-42-fin-valid-0","0.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-1","0.2","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-2","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-3","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-4","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-5","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-6","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-7","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-8","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-9","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-10","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-11","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-12","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-13","0.8","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-14","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-15","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-16","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-17","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-18","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-19","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-20","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-21","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-22","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-23","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-24","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-25","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-26","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-27","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-28","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-29","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-30","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-31","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-32","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-33","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-34","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-35","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-36","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-37","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-38","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-39","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-40","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-41","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-42","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-43","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-44","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-45","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-46","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-47","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-48","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-49","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-50","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-51","0.6","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-52","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-53","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-54","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-55","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-56","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-57","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-58","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-59","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-60","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-61","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-62","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-63","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-64","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-65","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-66","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-67","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-68","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-69","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-70","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-71","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-72","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-73","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-74","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-75","1.0","1","fin_valid","generative","42","conf_min_sc"
